runtime_minutes,director_name,movie_averageRating,movie_numerOfVotes,approval_Index,age,Production budget $,Domestic gross $,Worldwide gross $,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,\N
127.0,67.0,6.3,154365.0,5.40591661756872,2,90000000.0,45630104.0,130298184.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
119.0,1e-10,6.5,22865.0,4.6684206878114205,1,42000000.0,19487173.0,66787173.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
107.0,1e-10,5.7,38218.0,4.2930549343146005,1,12500000.0,677200.0,4027663.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
84.0,1e-10,5.9,38123.0,4.447233629700714,0,87000.0,3100000.0,3100000.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
92.0,1e-10,7.1,147996.0,6.087111945278878,1,18000000.0,60060328.0,77147031.0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104.0,1e-10,6.2,106007.0,5.146582111130496,2,35000000.0,39692139.0,77392139.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
91.0,1e-10,6.5,176183.0,5.644942721011352,0,17000000.0,54239856.0,99041947.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
120.0,47.0,6.5,108417.0,5.412739779402359,1,7200000.0,43800000.0,115999985.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
132.0,1e-10,7.6,151387.0,6.537733104478156,2,22000000.0,40270895.0,92542418.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130.0,65.0,6.9,196542.0,6.055951355491226,1,68000000.0,123277080.0,171172007.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
100.0,1e-10,5.9,8842.0,3.8128913889367793,2,7000000.0,1508593.0,1593173.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
114.0,1e-10,5.3,32655.0,3.9211945856963935,1,20000000.0,49823037.0,49823037.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88.0,1e-10,4.7,52149.0,3.624234533635736,1,16000000.0,42670410.0,78208812.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
84.0,1e-10,6.0,5093.0,3.6362265845754105,2,200000.0,140016.0,140016.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
122.0,1e-10,6.9,117543.0,5.794973401269522,0,38000000.0,58709717.0,116809717.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
109.0,1e-10,6.8,10331.0,4.492494723131769,1,1000000.0,800148.0,1471090.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
116.0,1e-10,6.7,118673.0,5.627898403272463,1,22000000.0,11330849.0,15434375.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113.0,1e-10,7.6,230878.0,6.77373109311017,0,30000000.0,40435190.0,53572822.0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
112.0,70.0,5.3,4853.0,3.177797332065244,1,7500000.0,533344.0,555335.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
92.0,1e-10,6.8,307312.0,6.18990592770578,2,21000000.0,25296447.0,43928932.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
85.0,1e-10,6.8,113780.0,5.692798875536859,2,46000000.0,85336277.0,250397798.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99.0,1e-10,6.5,6438.0,4.062306736052015,1,6000000.0,3273588.0,3273588.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144.0,1e-10,7.4,539316.0,7.05392872670275,1,250000000.0,255119788.0,940323039.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
115.0,1e-10,5.7,7308.0,3.599262313550419,1,35000000.0,14471440.0,14471440.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
130.0,118.0,6.4,329937.0,5.8514896905712375,0,98000000.0,202007640.0,435040395.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
127.0,1e-10,7.9,636744.0,7.635977646054371,2,120000000.0,124987022.0,619310368.0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
119.0,1e-10,7.1,189088.0,6.215110071880701,1,15000000.0,11114018.0,67514963.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110.0,7.0,6.2,76413.0,4.997255255767384,2,22000000.0,90648202.0,146590987.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
149.0,107.0,6.6,437963.0,6.176004963079792,1,125000000.0,217536138.0,767820459.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
108.0,1e-10,6.4,6751.0,4.020135551646557,1,13500000.0,6118683.0,6118683.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101.0,1e-10,6.4,97278.0,5.276389592092253,0,15000000.0,24769466.0,55669466.0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
107.0,15.0,6.1,171590.0,5.277593675991121,0,120000000.0,101028233.0,427947217.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
88.0,1e-10,8.5,1066010.0,8.548206678442119,2,79300000.0,421785283.0,986193783.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107.0,1e-10,6.4,234509.0,5.6907273916095065,0,40000000.0,52000688.0,127234389.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
104.0,1e-10,7.5,131258.0,6.371245967023701,2,20000000.0,33446470.0,53191101.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
