runtime_minutes,director_name,movie_averageRating,movie_numerOfVotes,approval_Index,production_year,month_sin,month_cos,number_of_professions,age,Production budget $,Domestic gross $,Worldwide gross $,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Sport,Thriller,War,Western,cluster
88.0,49.0,4.5,50525.0,3.453927504212717,2009,1e-10,1.0,3,2,70000000.0,219614612.0,443483213.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
86.0,1e-10,6.3,71540.0,5.049438051490513,2014,1e-10,1e-10,2,1,1600000.0,15600.0,868081.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
86.0,1e-10,5.7,63809.0,4.508022940661677,2009,0.8660254037844387,1e-10,3,2,18000000.0,24007324.0,27148898.0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102.0,356.0,5.7,24761.0,4.111029436236652,2001,0.49999999999999994,1e-10,3,1,38000000.0,24044532.0,29544532.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
93.0,634.0,6.2,12247.0,4.162074502479966,2021,1.0,6.123233995736766e-17,3,2,45000000.0,40501717.0,152506414.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
123.0,120.0,5.9,691152.0,5.7050365429206,2016,1e-10,1e-10,3,1,175000000.0,325100054.0,745744980.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
108.0,1e-10,5.7,38799.0,4.29938245348988,2021,0.49999999999999994,0.8660254037844387,3,2,23000000.0,15566093.0,23855847.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163.0,1e-10,7.7,105157.0,6.41905610242416,1987,1e-10,0.8660254037844384,3,1,25000000.0,43984987.0,44005435.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
105.0,440.0,6.3,145602.0,5.378826910288652,1997,1.2246467991473532e-16,1e-10,3,0,46000000.0,126813153.0,298923419.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
98.0,1e-10,4.7,19206.0,3.278818088488149,1988,1.2246467991473532e-16,1e-10,3,1,9500000.0,14114000.0,14114000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
139.0,531.0,6.3,597302.0,6.033111095767313,2007,0.49999999999999994,1e-10,3,1,258000000.0,336530303.0,894860230.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
111.0,236.0,6.2,93648.0,5.090034884523764,2021,1e-10,1e-10,3,1,40000000.0,13391791.0,33974421.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
110.0,1e-10,6.6,1744.0,3.4926262138125845,2011,1.2246467991473532e-16,1e-10,3,1,10000000.0,1759252.0,1884251.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125.0,577.0,6.5,395405.0,6.031544367563196,2004,1e-10,1.0,3,1,110000000.0,125531634.0,362989076.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
94.0,245.0,6.2,213262.0,5.465449315896422,2002,1e-10,1e-10,3,1,63000000.0,213117789.0,296338663.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
110.0,1e-10,4.9,9398.0,3.1662804917384664,2013,1e-10,1e-10,3,2,20000000.0,8888355.0,16723377.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
128.0,42.0,6.1,51484.0,4.737301962787795,1994,1e-10,1.0,3,1,55000000.0,83015089.0,212200000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
92.0,135.0,6.7,19210.0,4.730259878700446,1996,1.0,6.123233995736766e-17,3,0,7000000.0,14853474.0,16149180.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111.0,91.0,5.8,3016.0,3.2870427826994693,2007,1e-10,1e-10,3,2,10100000.0,1066555.0,1066555.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
115.0,542.0,6.3,214488.0,5.558385066651942,2015,1.2246467991473532e-16,1e-10,3,1,68000000.0,81476385.0,217214143.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
121.0,97.0,6.7,56655.0,5.263412999708391,1997,0.8660254037844386,0.5000000000000001,3,2,50000000.0,50068310.0,50068310.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.0,1e-10,7.1,232053.0,6.322069743010318,2020,0.8660254037844386,0.5000000000000001,3,1,7000000.0,64914050.0,139011965.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3
84.0,479.0,5.2,13416.0,3.5043890758169125,2000,1e-10,0.5000000000000001,3,0,11000000.0,13592872.0,13719474.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132.0,67.0,6.9,186885.0,6.030373665083044,2015,1e-10,1e-10,3,2,25000000.0,1872994.0,42425450.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104.0,85.0,5.6,14715.0,3.8221768230629394,2004,1e-10,1e-10,3,0,30000000.0,21800302.0,21827296.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
114.0,449.0,6.9,57002.0,5.427564873793132,2004,1e-10,1e-10,2,1,30000000.0,13001257.0,21577076.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
141.0,290.0,6.8,4135.0,4.034379384130482,2002,1.2246467991473532e-16,1e-10,3,1,5600000.0,3064356.0,3281898.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
116.0,1e-10,7.2,70216.0,5.779723205045951,2019,1.0,6.123233995736766e-17,3,0,7000000.0,45729221.0,92554209.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
189.0,1e-10,6.5,3282.0,3.740086649109236,1966,1e-10,0.5000000000000001,1,2,15000000.0,34562222.0,34562222.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107.0,1e-10,7.0,95839.0,5.775734564222196,2022,0.8660254037844387,1e-10,3,2,30000000.0,20300157.0,29116320.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90.0,177.0,6.4,42402.0,4.885380998581782,1997,1e-10,1e-10,3,1,35000000.0,63826569.0,83226569.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
105.0,202.0,5.9,64197.0,4.673456332806631,2016,1e-10,0.5000000000000001,3,1,40000000.0,14904426.0,28804426.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119.0,473.0,6.3,9864.0,4.131029592921046,2007,1e-10,0.8660254037844384,3,1,13000000.0,49121934.0,49733545.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
90.0,332.0,5.5,100572.0,4.529334565749718,2010,1e-10,0.5000000000000001,3,2,17000000.0,45710178.0,133735284.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3
178.0,373.0,8.2,525727.0,7.815371006710253,1995,1e-10,0.8660254037844384,3,1,52000000.0,42438300.0,110400000.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
102.0,1e-10,6.4,26963.0,4.672199225823509,2014,1e-10,1.0,3,1,12000000.0,25317379.0,26001741.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
96.0,1e-10,5.6,11727.0,3.728659075296505,2019,1.0,6.123233995736766e-17,3,1,10000000.0,76289.0,385651.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
105.0,596.0,7.3,365516.0,6.747897193237501,1999,1e-10,0.8660254037844384,3,1,70000000.0,101068340.0,207068340.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,3
107.0,303.0,6.1,58773.0,4.796729309416917,2010,1e-10,1e-10,3,0,30000000.0,42400223.0,165889117.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3
91.0,1e-10,4.2,14591.0,2.831060360801278,2015,0.49999999999999994,1e-10,3,2,5000000.0,7556.0,7556.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
170.0,590.0,7.6,190250.0,6.665503352755838,1998,1e-10,1.0,3,1,52000000.0,36400491.0,97709034.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
115.0,267.0,6.9,39685.0,5.243731592371411,2018,1e-10,0.8660254037844384,3,1,11000000.0,6788692.0,11862650.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
